,Date,AXP,FB,INTC,MCD,PG,WMT
102,2010-05-26,33.515803999999996,,15.710299,50.168316,45.676445,40.274516999999996
103,2010-05-27,35.412440999999994,,16.514788,51.501841999999996,46.061863,40.822037
104,2010-05-28,35.008518,,16.256741,51.248946999999994,46.167667,40.70932
105,2010-06-01,34.411438000000004,,16.074594,50.858082,46.220566,40.999179999999996
106,2010-06-02,35.9744,,16.552742000000002,51.93869,46.65889,41.643311
107,2010-06-03,35.596835999999996,,16.621037,51.999996,46.704235,41.643311
108,2010-06-04,33.726555,,15.900035999999998,51.118649,45.948502000000005,40.580494
109,2010-06-07,33.111903999999996,,15.414306,51.156975,45.812477,40.854248
110,2010-06-08,33.744106,,15.315639000000001,52.406189000000005,46.961178000000004,40.886456
111,2010-06-09,33.463122999999996,,15.125906,52.314232000000004,46.454848999999996,41.055534
112,2010-06-10,35.149006,,15.596456,53.164928,46.787357,41.24073
113,2010-06-11,35.23682,,15.664762,53.295216,46.107203999999996,40.950871
114,2010-06-14,35.026081,,15.854493,53.111281999999996,46.28857,41.256840000000004
115,2010-06-15,36.518799,,16.30228,53.95431899999999,46.787357,41.578903000000004
116,2010-06-16,37.177353000000004,,16.309866,53.87001,46.24324,41.047484999999995
117,2010-06-17,36.931492,,16.332639999999998,53.686092,46.674004,41.393710999999996
118,2010-06-18,36.905155,,16.241557999999998,53.555767,46.326366,41.506428
119,2010-06-21,37.405654999999996,,16.082188000000002,53.58643299999999,46.175228000000004,41.079693
120,2010-06-22,36.826122,,15.922806,52.60545,45.888054,40.805935
121,2010-06-23,37.028076,,15.793783,52.59779,46.386841,40.91061
122,2010-06-24,36.053436,,15.421898,51.908046999999996,46.001415,40.282565999999996
123,2010-06-25,37.467117,,15.201799,51.670452000000004,45.185223,39.292225
124,2010-06-28,36.975407000000004,,15.452257999999999,51.601475,45.812477,39.912209000000004
125,2010-06-29,35.201698,,15.019653,50.934719,45.585754,39.372746
126,2010-06-30,35.016479,,14.761610000000001,50.482544,45.3288,38.704453
127,2010-07-01,34.822433000000004,,14.609819,51.126312,44.996281,38.921844
128,2010-07-02,34.769501,,14.571873000000002,50.689461,44.875374,38.648087
129,2010-07-06,34.584274,,14.784377,50.666477,44.845141999999996,39.107025
130,2010-07-07,36.295418,,15.285282,51.586147,45.963612,39.388836
131,2010-07-08,37.150974,,15.254929999999998,52.896687,46.817593,39.598178999999995
132,2010-07-09,37.556728,,15.361177,53.049969,46.666458,39.799488000000004
133,2010-07-12,37.77721,,15.611637,53.60176800000001,46.923404999999995,40.355049
134,2010-07-13,38.959148,,15.945570000000002,54.29154200000001,47.150127000000005,40.693203000000004
135,2010-07-14,38.544585999999995,,16.211203,54.337509,47.354164000000004,40.540240999999995
136,2010-07-15,38.306430999999996,,16.325048000000002,54.667072,47.407082,40.588539000000004
137,2010-07-16,36.49828,,15.953159,53.60176800000001,46.847823999999996,39.992725
138,2010-07-19,36.674694,,16.385765,53.578789,46.749588,39.871952
139,2010-07-20,37.098057,,16.431299,54.314529,46.908291,40.966972
140,2010-07-21,36.295418,,16.135307,53.732048,46.544059999999995,40.540240999999995
141,2010-07-22,38.094742,,16.529964,54.720718000000005,46.742096000000004,40.950871
142,2010-07-23,39.505984999999995,,16.461657000000002,53.571117,47.153381,41.603065
143,2010-07-26,40.070488,,16.476837,54.314529,47.617985,41.16827
144,2010-07-27,39.294308,,16.378183,53.95431899999999,48.044502,41.031376
145,2010-07-28,39.320774,,16.188435000000002,53.471484999999994,47.755081,41.16827
146,2010-07-29,39.30312,,15.960754000000001,53.1726,46.970577,41.1119
147,2010-07-30,39.373688,,15.634401,53.440822999999995,46.582146,41.216583
148,2010-08-02,39.682404,,16.051825,53.839367,47.267628,41.393710999999996
149,2010-08-03,39.338402,,15.83932,53.992644999999996,45.652939,41.297081
150,2010-08-04,38.906223,,15.852706,54.176579000000004,45.355903999999995,41.546688
151,2010-08-05,38.121212,,15.806818,53.992644999999996,45.592009999999995,41.562798
152,2010-08-06,38.368179,,15.791525,54.981285,45.713885999999995,41.699669
153,2010-08-09,38.588684,,15.791525,55.885651,45.988071000000005,41.917068
154,2010-08-10,38.888577000000005,,15.156807999999998,55.824314,46.292725,42.045891
155,2010-08-11,37.891884000000005,,14.858559,54.851002,45.904301000000004,41.319041999999996
156,2010-08-12,37.177448,,14.873859,55.22654300000001,45.691044,40.841225
157,2010-08-13,36.807010999999996,,14.64444,55.096244999999996,45.561546,40.816936
158,2010-08-16,36.639408,,14.889153,55.019615,45.52346,40.825031
159,2010-08-17,36.815819,,14.935034,56.115547,45.919525,41.319041999999996
160,2010-08-18,36.771706,,14.980917999999999,56.138546,46.269875,41.189479999999996
161,2010-08-19,36.127831,,14.45326,55.923973,45.843353,40.541584
162,2010-08-20,35.951415999999995,,14.460907999999998,56.008266000000006,45.683403000000006,40.671165
163,2010-08-23,35.457493,,14.300317999999999,56.207527,45.721489,41.416229
164,2010-08-24,34.90181,,14.078546,55.73236800000001,45.439678,41.545811
165,2010-08-25,35.104679,,14.132075,56.09255600000001,45.4473,41.748264
166,2010-08-26,35.042931,,13.902659,56.069588,45.348282,41.278553
167,2010-08-27,36.083729,,14.047959,56.705684999999995,45.54631,41.302841
168,2010-08-30,35.184059000000005,,13.734423000000001,56.165165,45.218807,40.938404
169,2010-08-31,35.16642,,13.512651000000002,56.412262,45.4473,40.606369
170,2010-09-01,36.22485,,13.872063,57.555035,45.54631,41.464813
171,2010-09-02,36.057266,,13.979135000000001,57.92564399999999,45.751965000000006,41.918343
172,2010-09-03,36.868728999999995,,14.093841000000001,57.979682999999994,45.919525,42.145111
173,2010-09-07,35.360462,,13.856778,58.527919999999995,45.805267,41.999325
174,2010-09-08,35.342822999999996,,13.688538000000001,58.74411,45.980457,41.975044
175,2010-09-09,35.889679,,13.765009,57.423770999999995,45.919525,42.039809999999996
176,2010-09-10,35.448673,,13.742065,57.917922999999995,46.0033,42.088417
177,2010-09-13,36.357166,,14.193254000000001,57.57819,46.064236,42.282776
178,2010-09-14,35.616261,,14.330904,57.091747,46.186091999999995,42.647221
179,2010-09-15,36.030803999999996,,14.315607,57.686291000000004,46.544059999999995,42.809181
180,2010-09-16,36.127831,,14.506789999999999,57.755775,46.544059999999995,43.044052
181,2010-09-17,36.489468,,14.384435,57.385155000000005,46.437447,42.930668
182,2010-09-20,38.033004999999996,,14.4762,57.99514,46.787781,43.35989
183,2010-09-21,37.733105,,14.636792000000002,58.304007999999996,46.856346,43.384182
184,2010-09-22,37.741951,,14.537378,58.010601,47.061981,43.586665999999994
185,2010-09-23,37.362663,,14.514435,57.632256000000005,46.627853,43.44899
186,2010-09-24,38.041832,,14.850917,57.987415000000006,46.947734999999994,43.797215
187,2010-09-27,38.315258,,14.713268,57.724915,46.490753000000005,43.311302000000005
188,2010-09-28,38.535778,,14.919735999999999,57.624504,46.170868,43.586665999999994
189,2010-09-29,37.935982,,14.713268,57.485546,45.889053000000004,43.206013
190,2010-09-30,37.07159,,14.682676,57.531864,45.675793,43.343697
191,2010-10-01,36.851096999999996,,14.774444,57.848438,45.820492,43.214119000000004
192,2010-10-04,34.443160999999996,,14.430315,57.871593000000004,45.668171,43.384182
193,2010-10-05,33.764004,,14.64444,58.54335,46.323189,43.732440999999994
194,2010-10-06,33.693108,,14.766794,58.342608999999996,46.361282,44.185966
195,2010-10-07,33.515869,,14.835619,58.574249,46.307953000000005,44.023987
196,2010-10-08,33.666527,,14.927391,58.759570999999994,47.115307,44.064471999999995
197,2010-10-11,33.6222,,14.957973999999998,58.365768,47.328559999999996,44.226448
198,2010-10-12,34.153931,,15.118567,58.35805500000001,47.237159999999996,43.667645
199,2010-10-13,34.791981,,14.713268,58.48933,47.701771,43.586665999999994
200,2010-10-14,34.951510999999996,,14.774444,59.485367000000004,47.831249,43.125042
201,2010-10-15,34.641327000000004,,14.774444,59.825089,47.800781,43.206013
202,2010-10-18,35.048973,,14.675025,59.701572,48.250149,43.538067
203,2010-10-19,34.8363,,14.690323999999999,59.446754000000006,48.120655,43.181721
204,2010-10-20,35.208488,,15.019156,59.77105699999999,48.636269,43.3032
205,2010-10-21,35.687053999999996,,15.110923000000001,60.566356999999996,48.74371,43.756714
206,2010-10-22,34.588158,,15.1721,60.651299,48.659302000000004,43.781025
207,2010-10-25,34.827438,,15.195045,60.767117000000006,48.766746999999995,43.691944
208,2010-10-26,35.536384999999996,,15.325044,60.81345699999999,48.24485,44.185966
209,2010-10-27,36.050388,,15.43975,59.825089,48.413703999999996,43.627148
210,2010-10-28,36.528931,,15.653870999999999,59.825089,48.498123,43.797215
211,2010-10-29,36.741615,,15.332692999999999,60.049026,48.789768,43.870098
212,2010-11-01,36.830227,,15.730345000000002,60.133968,48.828152,43.983498
213,2010-11-02,37.565777000000004,,15.554462,60.535477,49.135139,44.372223
214,2010-11-03,37.282185,,15.783741000000001,60.612701,49.357731,44.469421000000004
215,2010-11-04,38.753281,,16.161379,61.137733,49.887283000000004,44.833843
216,2010-11-05,39.054577,,16.369469,61.230408,49.887283000000004,44.704262
217,2010-11-08,38.903927,,16.361760999999998,61.238117,49.695415000000004,44.469421000000004
218,2010-11-09,38.425377000000005,,16.307807999999998,61.075984999999996,49.741474,44.582786999999996
219,2010-11-10,38.602619,,16.215328,61.38481899999999,49.557266,44.145458000000005
220,2010-11-11,38.416519,,16.346344000000002,61.53923399999999,49.396099,44.007785999999996
221,2010-11-12,37.840508,,16.592968,60.882938,49.373077,43.837711
222,2010-11-15,37.840508,,16.415709,61.052814,49.342361,43.691944
223,2010-11-16,37.158119,,16.238445000000002,59.77878199999999,48.697674,43.942997
224,2010-11-17,36.6973,,16.246159,60.51232099999999,48.559528,43.546162
225,2010-11-18,37.441711,,16.199913000000002,61.014191000000004,49.135139,43.71624
226,2010-11-19,37.8848,,16.292397,61.492928000000006,49.15818,44.048286
227,2010-11-22,37.415127000000005,,16.377174,61.400253,48.782097,44.040172999999996
228,2010-11-23,37.175846,,16.25386,61.006485,48.052979,43.465168
229,2010-11-24,38.106339,,16.485064,61.3694,48.0453,43.740524
230,2010-11-26,37.459435,,16.446533,60.643562,47.684585999999996,43.52187
231,2010-11-29,38.3988,,16.438829000000002,60.900379,47.684585999999996,43.610954
232,2010-11-30,38.301327,,16.307807999999998,60.931495999999996,46.871029,43.805321
233,2010-12-01,39.258415,,16.554434,61.701893000000005,47.699932000000004,44.299328
234,2010-12-02,39.861,,16.723983999999998,61.771938,47.861107000000004,44.339817
235,2010-12-03,39.772396,,16.716274,62.067642000000006,47.838081,44.23455
236,2010-12-06,39.878735,,16.723983999999998,61.927574,47.630856,44.129261
237,2010-12-07,39.683772999999995,,16.631501999999998,62.518986,47.699932000000004,44.615177
238,2010-12-08,40.43705,,16.816463,61.273891000000006,48.068335999999995,44.372917
239,2010-12-09,40.59655,,16.808764,60.394546999999996,48.252525,44.250766999999996
240,2010-12-10,40.995342,,16.885822,60.35564399999999,48.505802,44.201908
241,2010-12-13,41.092812,,16.569845,60.005463,48.498123,44.144905
242,2010-12-14,40.942165,,16.546726,60.005463,48.774421999999994,44.340343
243,2010-12-15,40.871272999999995,,16.400291,59.904324,48.843491,44.161179
244,2010-12-16,39.497673,,16.415709,59.694191000000004,49.50354,44.486916
245,2010-12-17,39.001396,,16.539015,59.772006999999995,49.741474,44.307766
246,2010-12-20,37.663253999999995,,16.361760999999998,59.857616,49.864273,43.786602
247,2010-12-21,38.310165000000005,,16.261570000000003,59.810917,49.787514,43.688885
248,2010-12-22,37.937969,,16.099724,59.927654000000004,49.848915000000005,43.412003000000006
249,2010-12-23,37.902527,,16.061184,59.888729000000005,50.071490999999995,43.648163000000004
250,2010-12-27,38.150658,,16.061184,59.47629499999999,49.634018,43.623726
251,2010-12-28,37.920238,,16.092016,59.47629499999999,49.703098,43.762169
252,2010-12-29,37.982281,,16.13826,59.912075,49.426792,44.039035999999996
253,2010-12-30,37.6721,,16.199913000000002,59.733105,49.334709000000004,44.030899
254,2010-12-31,38.035461,,16.207623,59.733105,49.373077,43.916893
255,2011-01-03,38.460842,,16.068893,59.608589,49.710758,44.429928000000004
256,2011-01-04,38.948235,,16.300104,57.826561,49.848915000000005,44.600937
257,2011-01-05,40.078323,,16.13826,58.098927,49.733791,44.307766
258,2011-01-06,39.802479,,16.007242,57.74874499999999,49.649368,43.941319
259,2011-01-07,39.473244,,15.922466,57.873256999999995,49.50354,44.039035999999996
260,2011-01-10,39.562225,,15.945589000000002,57.242924,49.396099,43.754017
261,2011-01-11,40.078323,,16.223032,57.507515000000005,49.150504999999995,44.210049
262,2011-01-12,40.042732,,16.415709,57.274048,49.864273,44.666073
263,2011-01-13,40.096127,,16.407997,56.550343000000005,50.255703000000004,44.61721
264,2011-01-14,41.155025,,16.246159,57.631995999999994,50.294075,44.633503000000005
265,2011-01-18,41.26181,,16.246159,58.11448299999999,50.271038,44.902225
266,2011-01-19,40.25629,,16.192207,58.635872,50.527584000000004,44.81266
